date,county,daily_cases
2020-04-06,Whiteside,3
2020-04-07,Whiteside,0
2020-04-08,Whiteside,2
2020-04-09,Whiteside,1
2020-04-10,Whiteside,1
2020-04-11,Whiteside,1
2020-04-12,Whiteside,2
2020-04-13,Whiteside,2
2020-04-14,Whiteside,-1
2020-04-15,Whiteside,1
2020-04-16,Whiteside,1
2020-04-17,Whiteside,5
2020-04-18,Whiteside,0
2020-04-19,Whiteside,5
2020-04-20,Whiteside,1
2020-04-21,Whiteside,3
2020-04-22,Whiteside,4
2020-04-23,Whiteside,4
2020-04-24,Whiteside,6
2020-04-25,Whiteside,3
2020-04-26,Whiteside,5
2020-04-27,Whiteside,9
2020-04-28,Whiteside,-1
2020-04-29,Whiteside,9
2020-04-30,Whiteside,3
2020-05-01,Whiteside,5
2020-05-02,Whiteside,0
2020-05-03,Whiteside,0
2020-05-04,Whiteside,2
2020-05-05,Whiteside,4
2020-05-06,Whiteside,1
2020-05-07,Whiteside,2
2020-05-08,Whiteside,1
2020-05-09,Whiteside,2
2020-05-10,Whiteside,6
2020-05-11,Whiteside,1
2020-05-12,Whiteside,1
2020-05-13,Whiteside,0
2020-05-14,Whiteside,1
2020-05-15,Whiteside,6
2020-05-16,Whiteside,3
2020-05-17,Whiteside,1
2020-05-18,Whiteside,3
2020-05-19,Whiteside,5
2020-05-20,Whiteside,2
2020-05-21,Whiteside,0
2020-05-22,Whiteside,2
2020-05-23,Whiteside,0
2020-05-24,Whiteside,0
2020-05-25,Whiteside,0
2020-03-16,Winnebago,0
2020-03-17,Winnebago,0
2020-03-18,Winnebago,0
2020-03-19,Winnebago,1
2020-03-20,Winnebago,2
2020-03-21,Winnebago,0
2020-03-22,Winnebago,1
2020-03-23,Winnebago,0
2020-03-24,Winnebago,2
2020-03-25,Winnebago,1
2020-03-26,Winnebago,0
2020-03-27,Winnebago,1
2020-03-28,Winnebago,3
2020-03-29,Winnebago,1
2020-03-30,Winnebago,2
2020-03-31,Winnebago,3
2020-04-01,Winnebago,6
2020-04-02,Winnebago,4
2020-04-03,Winnebago,8
2020-04-04,Winnebago,6
2020-04-05,Winnebago,7
2020-04-06,Winnebago,10
2020-04-07,Winnebago,4
2020-04-08,Winnebago,3
2020-04-09,Winnebago,11
2020-04-10,Winnebago,3
2020-04-11,Winnebago,14
2020-04-12,Winnebago,5
2020-04-13,Winnebago,2
2020-04-14,Winnebago,18
2020-04-15,Winnebago,2
2020-04-16,Winnebago,24
2020-04-17,Winnebago,27
2020-04-18,Winnebago,6
2020-04-19,Winnebago,17
2020-04-20,Winnebago,12
2020-04-21,Winnebago,31
2020-04-22,Winnebago,14
2020-04-23,Winnebago,27
2020-04-24,Winnebago,23
2020-04-25,Winnebago,16
